Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
GS Henri Marc  élémentaire;;;9 avril  2020;Chevigny-Saint-Sauveur;;Existant;;"{""coordinates"": [5.1324728143891765, 47.30395201497711], ""type"": ""Point""}";47.30395201497711, 5.1324728143891765
parking ALSH;6;;boule bleu;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.0861632958635745, 47.32737763532438], ""type"": ""Point""}";47.32737763532438, 5.0861632958635745
super u;2;;;Talant;2019;Existant;;"{""coordinates"": [4.9954927538606535, 47.34065109604182], ""type"": ""Point""}";47.34065109604182, 4.9954927538606535
parking ALSH;1;;arceau;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.086151226076269, 47.327237647076466], ""type"": ""Point""}";47.327237647076466, 5.086151226076269
poste;6;;boule bleu, sol : désactivé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.086264738850786, 47.3342823774043], ""type"": ""Point""}";47.3342823774043, 5.086264738850786
parking ALSH;1;;arceau;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.086147202980556, 47.327215830276074], ""type"": ""Point""}";47.327215830276074, 5.086147202980556
rue cassin;1;;arceau, sol : pavé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.085041618915482, 47.32739107038089], ""type"": ""Point""}";47.32739107038089, 5.085041618915482
redoute wc;1;;arceau, sol : enrobé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.074467377660085, 47.33523662352699], ""type"": ""Point""}";47.33523662352699, 5.074467377660085
Louzolle;6;;boule bleu, sol : enrobé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.0991927326954665, 47.32707150409543], ""type"": ""Point""}";47.32707150409543, 5.0991927326954665
Louzolle;6;;boule bleu, sol : enrobé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.0994724501815885, 47.32680434927668], ""type"": ""Point""}";47.32680434927668, 5.0994724501815885
2bis rue Marechal Leclerc;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.068982599903394, 47.32685138403519], ""type"": ""Point""}";47.32685138403519, 5.068982599903394
cours du Parc piscine carrousel;27;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046099999756064, 47.307625000044645], ""type"": ""Point""}";47.307625000044645, 5.046099999756064
33b rue Charles Dumond;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.040087865512276, 47.31255901428321], ""type"": ""Point""}";47.31255901428321, 5.040087865512276
40 rue Charles Dumond;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.039825703519628, 47.31258651846293], ""type"": ""Point""}";47.31258651846293, 5.039825703519628
58 rue Daubenton;1;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.039172370392711, 47.31194829497889], ""type"": ""Point""}";47.31194829497889, 5.039172370392711
